"","rt","response","stim","trial_num","code"
"1",NA,NA,NA,NA,"QK7931RT"
"2",NA,NA,NA,NA,"QK7931RT"
"3",NA,NA,NA,NA,"QK7931RT"
"4",NA,NA,NA,NA,"QK7931RT"
"48",0.23019623125307,"correct","happy",48,"QK7931RT"
"36",0.424171826220628,"correct","happy",36,"QK7931RT"
"47",0.984674416342137,"false","happy",47,"QK7931RT"
"110",1.36499660684473,"correct","sad",1,"QK7931RT"
"11",0.269393267994051,"false","sad",11,"QK7931RT"
"13",1.27903438322735,"correct","sad",13,"QK7931RT"
"32",0.241987828374597,"correct","happy",32,"QK7931RT"
"7",NA,NA,"sad",7,"QK7931RT"
"57",0.216015929767969,"correct","happy",57,"QK7931RT"
"59",0.217845255372757,"correct","happy",59,"QK7931RT"
"37",0.965200411266854,"correct","happy",37,"QK7931RT"
"210",0.330718726913382,"correct","sad",2,"QK7931RT"
"27",0.598579567026019,"correct","sad",27,"QK7931RT"
"25",NA,NA,"sad",25,"QK7931RT"
"410",0.615483404780717,"correct","sad",4,"QK7931RT"
"60",0.643685690626843,"false","happy",60,"QK7931RT"
"5",0.312020342909376,"correct","sad",5,"QK7931RT"
"22",0.150005099707086,"false","sad",22,"QK7931RT"
"15",0.753725173202967,"false","sad",15,"QK7931RT"
"10",0.437596049059709,"correct","sad",10,"QK7931RT"
"17",0.444288011536367,"correct","sad",17,"QK7931RT"
"43",0.169301964453165,"correct","happy",43,"QK7931RT"
"29",0.287168638958009,"correct","sad",29,"QK7931RT"
"16",0.161138083704013,"correct","sad",16,"QK7931RT"
"14",0.12479860505103,"correct","sad",14,"QK7931RT"
"21",0.323212606609104,"correct","sad",21,"QK7931RT"
"20",0.909549676396753,"correct","sad",20,"QK7931RT"
"34",1.04680530146686,"false","happy",34,"QK7931RT"
"28",0.953987567220328,"false","sad",28,"QK7931RT"
"19",0.277933946583197,"false","sad",19,"QK7931RT"
"56",0.272474424357051,"correct","happy",56,"QK7931RT"
"50",0.798911252113077,"false","happy",50,"QK7931RT"
"26",0.350498057824404,"false","sad",26,"QK7931RT"
"49",0.595069000901657,"correct","happy",49,"QK7931RT"
"45",0.101789247695426,"false","happy",45,"QK7931RT"
"310",0.433361411717844,"false","sad",3,"QK7931RT"
"39",0.282884915824385,"correct","happy",39,"QK7931RT"
"31",0.770584191274218,"correct","happy",31,"QK7931RT"
"53",0.25467647129917,"false","happy",53,"QK7931RT"
"41",0.272869371836258,"correct","happy",41,"QK7931RT"
"55",0.25178281435804,"false","happy",55,"QK7931RT"
"52",0.328711063090291,"correct","happy",52,"QK7931RT"
"46",1.13740444383446,"correct","happy",46,"QK7931RT"
"38",0.630219127445864,"correct","happy",38,"QK7931RT"
"18",0.244552954784724,"correct","sad",18,"QK7931RT"
"35",0.998547236431353,"correct","happy",35,"QK7931RT"
"54",0.0620898090748985,"correct","happy",54,"QK7931RT"
"6",0.799777521932484,"false","sad",6,"QK7931RT"
"58",0.128824457602281,"correct","happy",58,"QK7931RT"
"42",0.153044319219426,"correct","happy",42,"QK7931RT"
"44",0.33763662861657,"correct","happy",44,"QK7931RT"
"12",0.209404593039464,"correct","sad",12,"QK7931RT"
"24",0.185325258985244,"false","sad",24,"QK7931RT"
"51",0.247909795789794,"false","happy",51,"QK7931RT"
"33",0.155164332657721,"false","happy",33,"QK7931RT"
"8",0.110393673250898,"correct","sad",8,"QK7931RT"
"40",0.424348573919249,"correct","happy",40,"QK7931RT"
"30",0.34436564576573,"correct","sad",30,"QK7931RT"
"9",0.213515559192086,"false","sad",9,"QK7931RT"
"23",0.253327731717917,"correct","sad",23,"QK7931RT"
"111",NA,NA,NA,NA,"QK7931RT"
"211",NA,NA,NA,NA,"QK7931RT"
